filename,total_chunks,text_length
2509.00045v1.pdf,13,41669
2509.00056v2.pdf,18,58638
2509.00437v1.pdf,8,28288
2509.00783v1.pdf,24,77772
2509.00889v1.pdf,15,41906
2509.01514v1.pdf,14,44796
2509.01842v3.pdf,18,61849
2509.02438v1.pdf,27,81746
2509.03378v3.pdf,23,78463
2509.03937v1.pdf,24,72766
2509.03972v1.pdf,7,22419
2509.04060v1.pdf,30,84591
2509.04531v1.pdf,4,11482
2509.04882v1.pdf,6,16326
2509.05166v2.pdf,17,54050
2509.05709v1.pdf,9,24840
2509.05887v1.pdf,9,28005
2509.05959v1.pdf,7,17605
2509.06078v1.pdf,19,58833
2509.06304v1.pdf,5,18195
2509.06610v1.pdf,21,64694
2509.06889v1.pdf,18,56298
2509.07038v1.pdf,10,29556
2509.07123v1.pdf,23,72874
2509.07150v1.pdf,20,65556
2509.08282v1.pdf,9,28791
2509.08377v1.pdf,17,55784
2509.08418v1.pdf,19,59813
2509.08438v1.pdf,11,33055
2509.08634v1.pdf,13,38050
2509.08736v1.pdf,21,71223
2509.08751v1.pdf,4,11152
2509.08846v1.pdf,19,58550
2509.08861v2.pdf,9,29599
2509.10016v1.pdf,6,21100
2509.10257v1.pdf,8,26013
2509.10671v1.pdf,12,37449
2509.10728v1.pdf,13,39017
2509.11554v1.pdf,15,45805
2509.11633v1.pdf,14,44250
2509.11752v1.pdf,20,66055
2509.12175v2.pdf,25,73836
2509.12407v1.pdf,18,51391
2509.12502v2.pdf,26,102993
2509.12561v1.pdf,10,28770
2509.13388v2.pdf,20,58723
2509.14662v1.pdf,21,67057
2509.17298v1.pdf,20,61928
2509.17799v1.pdf,11,29406
2509.18505v1.pdf,18,53385
2509.18517v1.pdf,8,24457
2509.19482v1.pdf,21,62934
2509.19822v2.pdf,12,38481
2509.19871v2.pdf,37,116139
2509.20617v1.pdf,8,26347
2509.21215v1.pdf,12,35980
2509.21373v1.pdf,13,42745
2509.21653v1.pdf,32,101459
2509.22492v1.pdf,17,58676
2509.23143v2.pdf,6,20491
2509.23240v1.pdf,23,74982
2509.23577v1.pdf,13,41826
2509.23661v1.pdf,14,50984
2509.23672v1.pdf,18,57762
2509.23741v1.pdf,35,108964
2509.24173v1.pdf,26,77223
2509.24294v1.pdf,23,73947
2509.24361v1.pdf,20,62296
2509.25028v1.pdf,14,43316
2509.25066v1.pdf,10,28498
2509.25074v1.pdf,121,346930
2509.25583v2.pdf,7,18947
2509.25707v2.pdf,17,49623
2509.25958v1.pdf,17,52780
2509.26395v1.pdf,23,65050
